Film	Director	Leading actors	Year of cinema release	No of Oscars won	IMDB link	Guardian film page	Country	Category	summary
Bringing Up Baby	Howard Hawkes	Cary Grant, Katharine Hepburn, Katherine Hepburn	1938		http://www.imdb.com/title/tt0029947/	http://www.guardian.co.uk/film/movie/36143/bringing-up-baby	USA	Comedy	While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard Baby.
There? Something About Mary	Peter & Bob Farrelly	Ben Stiller, Cameron Diaz, Lee Evans, Matt Dillon	1998		http://www.imdb.com/title/tt0129387/	http://www.guardian.co.uk/film/movie/34359/there.s.something.about.mary	USA	Comedy	A man gets a chance to meet up with his dream girl from highschool, even though his date with her back then was a complete disaster.
Dazed and Confused	Richard Linklater	Adam Goldberg, Jason London, Joey Lauren Adams, Joey Lauren Adams, Milla Jovovich, Rory Cochrane, Shawn Andrew	1993		http://www.imdb.com/title/tt0106677/	http://www.guardian.co.uk/film/movie/49047/dazed-and-confused	USA	Comedy	The adventures of high school and junior high students on the last day of school in May 1976.
MASH	Robert Altman	Donald Sutherland, Elliott Gould, Sally Kellerman	1970	1	http://www.imdb.com/title/tt0066026/	http://www.guardian.co.uk/film/movie/84547	USA	Comedy	The staff of a Korean War field hospital use humor and hijinks to keep their sanity in the face of the horror of war.
Groundhog Day	Harold Ramis	Andie MacDowell, Bill Murray, Chris Elliott, Stephen Tobolowsky	1993		http://www.imdb.com/title/tt0107048/	http://www.guardian.co.uk/film/movie/79383/groundhog-day	USA	Comedy	A weatherman finds himself living the same day over and over again.
Clueless	Amy Heckerling	Alicia Silverstone, Dan Hedaya, Stacey Dash	1995		http://www.imdb.com/title/tt0112697/	http://www.guardian.co.uk/film/movie/59257/clueless	USA	Comedy	A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.
The Great Dictator	Charlie Chaplin	Charlie Chaplin, Jack Oakie, Paulette Goddard	1940		http://www.imdb.com/title/tt0032553/	http://www.guardian.co.uk/film/movie/96585/great.dictator	USA	Comedy	Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
Clerks	Kevin Smith	Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti	1994		http://www.imdb.com/title/tt0109445/	http://www.guardian.co.uk/film/movie/53831/clerks	USA	Comedy	A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.
The Jerk	Carl Reiner	Steve Martin	1979		http://www.imdb.com/title/tt0079367/	http://www.guardian.co.uk/film/movie/88834/jerk	USA	Comedy	An idiotic man struggles to make it through life on his own in St. Louis.
Shaun of the Dead	Edgar Wright	Dylan Moran, Kate Ashfield, Nick Frost, Simon Pegg	2004		http://www.imdb.com/title/tt0365748/	http://www.guardian.co.uk/film/movie/99960/shaun.of.the.dead	UK	Comedy	A man decides to turn his moribund life around by winning back his ex-girlfriend, reconciling his relationship with his mother, and dealing with an entire community that has returned from the dead to eat the living.
Apocalypse Now	Francis Coppola	Dennis Hopper, Frederic Forrest, Laurence Fishburne, Marlon Brando, Martin Sheen, Robert Duvall, Rpobert Duvall	1979	2	http://www.imdb.com/title/tt0078788/	http://www.guardian.co.uk/film/movie/36320/apocalypse.now	USA	Action	During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.
North by Northwest	Alfred Hitchcock	 Cary Grant, Eva Marie Saint, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G Carroll, Martin Landau	1959		http://www.imdb.com/title/tt0053125/	http://www.guardian.co.uk/film/movie/35095/north-by-northwest	USA	Action	A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.
Once Upon a Time in the West	Sergio Leone	Charles Bronson, Claudia Cardinale, Henry Fonda, Jason Robards	1968		http://www.imdb.com/title/tt0064116/	http://www.guardian.co.uk/film/movie/36274/once.upon.a.time.in.the.west	Italy	Action	Epic story of a mysterious stranger with a harmonica who joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
The Wild Bunch	Sam Pekinpah	Ernest Borgnine, Robert Ryan, William Holden	1969		http://www.imdb.com/title/tt0065214/	http://www.guardian.co.uk/film/movie/36285/wild.bunch	USA	Action	An aging group of outlaws look for one last big score as the traditional American West is disappearing around them.
Deliverance	John Boorman 	Burt Reynolds, Jon Voight, Ned Beatty	1972		http://www.imdb.com/title/tt0068473/	http://www.guardian.co.uk/film/movie/76560/deliverance	USA	Action	Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.
City of God	Fernando Meirelles	Alexandre Rodrigues, Leandro Firmino da Hora, Matheus Nachtergaele, Phelipe Haagensen	2002		http://www.imdb.com/title/tt0317248/	http://www.guardian.co.uk/film/movie/94028/city.of.god	Brazil	Action	Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.
Paths of Glory	Stanley Kubrick	Adolphe Menjou, Kirk Douglas, Ralph Meeker	1957		http://www.imdb.com/title/tt0050825/	http://www.guardian.co.uk/film/movie/76931/paths.of.glory	USA	Action	After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.
The Wages of Fear	Henri-Georges Clouzot	Charles Vanel, Folco Lulli, Yves Montand	1953		http://www.imdb.com/title/tt0046268/	http://www.guardian.co.uk/film/movie/78592/wages-of-fear	France	Action	In a decrepit South American village, men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.
Crouching Tiger Hidden Dragon	Ang Lee	Chang Chen, Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Ziyi Zhang	2000	4	http://www.imdb.com/title/tt0190332/	http://www.guardian.co.uk/film/movie/86383/crouching.tiger.hidden.dragon	Taiwan	Action	Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically skilled, adolescent nobleman's daughter, who is at a crossroads in her life.
